;SIZEGRP,BE_PCT_HH1,BE_PCT_HH2,BE_PCT_HH3,BE_PCT_HH4,BE_PCT_HH5,BE_PCT_HH6,BE_SUM_PCT,IR_PCT_HH1,IR_PCT_HH2,IR_PCT_HH3,IR_PCT_HH4,IR_PCT_HH5,IR_PCT_HH6,IR_SUM_PCT,TO_PCT_HH1,TO_PCT_HH2,TO_PCT_HH3,TO_PCT_HH4,TO_PCT_HH5,TO_PCT_HH6,TO_SUM_PCT,SW_PCT_HH1,SW_PCT_HH2,SW_PCT_HH3,SW_PCT_HH4,SW_PCT_HH5,SW_PCT_HH6,SW_SUM_PCT,UD_PCT_HH1,UD_PCT_HH2,UD_PCT_HH3,UD_PCT_HH4,UD_PCT_HH5,UD_PCT_HH6,UD_SUM_PCT,WE_PCT_HH1,WE_PCT_HH2,WE_PCT_HH3,WE_PCT_HH4,WE_PCT_HH5,WE_PCT_HH6,WE_SUM_PCT,DA_PCT_HH1,DA_PCT_HH2,DA_PCT_HH3,DA_PCT_HH4,DA_PCT_HH5,DA_PCT_HH6,DA_SUM_PCT,SL_PCT_HH1,SL_PCT_HH2,SL_PCT_HH3,SL_PCT_HH4,SL_PCT_HH5,SL_PCT_HH6,SL_SUM_PCT,UT_PCT_HH1,UT_PCT_HH2,UT_PCT_HH3,UT_PCT_HH4,UT_PCT_HH5,UT_PCT_HH6,UT_SUM_PCT,CA_PCT_HH1,CA_PCT_HH2,CA_PCT_HH3,CA_PCT_HH4,CA_PCT_HH5,CA_PCT_HH6,CA_SUM_PCT,DX_PCT_HH1,DX_PCT_HH2,DX_PCT_HH3,DX_PCT_HH4,DX_PCT_HH5,DX_PCT_HH6,DX_SUM_PCT
1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1
1.2,0.8426,0.1421,0.0153,0,0,0,1,0.8598,0.1238,0.0164,0,0,0,1,0.7529,0.2047,0.0424,0,0,0,1,0.7007,0.2582,0.0411,0,0,0,1,0.7439,0.2194,0.0367,0,0,0,1,0.816,0.1582,0.0258,0,0,0,1,0.8571,0.127,0.0159,0,0,0,1,0.8271,0.1452,0.0277,0,0,0,1,0.8482,0.1318,0.02,0,0,0,1,0.8122,0.1631,0.0247,0,0,0,1,0.8122,0.1631,0.0247,0,0,0,1
1.4,0.665,0.2921,0.0348,0.0081,0,0,1,0.6937,0.2603,0.0383,0.0077,0,0,1,0.5249,0.3717,0.0854,0.018,0,0,1,0.4607,0.4423,0.0782,0.0188,0,0,1,0.5168,0.3965,0.0738,0.0129,0,0,1,0.6191,0.3122,0.0566,0.0121,0,0,1,0.6889,0.2658,0.0371,0.0082,0,0,1,0.6357,0.2904,0.0617,0.0122,0,0,1,0.6734,0.2727,0.0461,0.0078,0,0,1,0.615,0.3217,0.0538,0.0095,0,0,1,0.615,0.3217,0.0538,0.0095,0,0,1
1.6,0.5116,0.4059,0.0611,0.0214,0,0,1,0.5428,0.368,0.0685,0.0207,0,0,1,0.361,0.4617,0.1345,0.0428,0,0,1,0.3064,0.5317,0.1189,0.043,0,0,1,0.3575,0.4954,0.1165,0.0306,0,0,1,0.4571,0.4168,0.0957,0.0304,0,0,1,0.5374,0.3745,0.066,0.0221,0,0,1,0.4732,0.3906,0.1048,0.0314,0,0,1,0.5188,0.3793,0.0812,0.0207,0,0,1,0.4549,0.4299,0.0912,0.024,0,0,1,0.4549,0.4299,0.0912,0.024,0,0,1
1.8,0.3627,0.4954,0.0843,0.034,0.0236,0,1,0.3941,0.4592,0.0965,0.0336,0.0166,0,1,0.2315,0.5086,0.1674,0.0611,0.0314,0,1,0.1925,0.5741,0.1452,0.0603,0.0279,0,1,0.2321,0.5532,0.1472,0.0445,0.023,0,1,0.3122,0.4889,0.1271,0.0464,0.0254,0,1,0.3862,0.4629,0.0924,0.0353,0.0232,0,1,0.327,0.4638,0.1408,0.0483,0.0201,0,1,0.3709,0.4664,0.1131,0.0329,0.0167,0,1,0.3135,0.5099,0.1224,0.0372,0.017,0,1,0.3135,0.5099,0.1224,0.0372,0.017,0,1
2,0.2384,0.5161,0.1049,0.0542,0.0616,0.0248,1,0.2661,0.4926,0.1238,0.0553,0.0449,0.0173,1,0.1388,0.4847,0.1906,0.0896,0.0755,0.0208,1,0.1155,0.5466,0.1652,0.0879,0.0669,0.0179,1,0.1436,0.5444,0.1731,0.0673,0.057,0.0146,1,0.1979,0.4926,0.153,0.0719,0.0642,0.0204,1,0.2558,0.4865,0.1159,0.057,0.061,0.0238,1,0.2108,0.4748,0.1723,0.076,0.0516,0.0145,1,0.2479,0.495,0.1434,0.0539,0.0444,0.0154,1,0.2049,0.5288,0.1516,0.0592,0.0443,0.0112,1,0.2049,0.5288,0.1516,0.0592,0.0443,0.0112,1
2.2,0.1449,0.4883,0.1184,0.0806,0.1042,0.0636,1,0.1667,0.4806,0.1439,0.0847,0.0782,0.0459,1,0.0788,0.4279,0.2006,0.1239,0.1192,0.0496,1,0.0659,0.4864,0.1752,0.123,0.1062,0.0433,1,0.0847,0.4998,0.1893,0.0968,0.0932,0.0362,1,0.1173,0.4541,0.168,0.1039,0.1059,0.0508,1,0.1558,0.4625,0.1313,0.0852,0.1036,0.0616,1,0.127,0.4451,0.1924,0.1119,0.0865,0.0371,1,0.1544,0.4801,0.1657,0.082,0.077,0.0408,1,0.1258,0.5067,0.1732,0.0892,0.076,0.0291,1,0.1258,0.5067,0.1732,0.0892,0.076,0.0291,1
2.4,0.0867,0.4278,0.125,0.1115,0.1415,0.1075,1,0.1025,0.4325,0.156,0.1202,0.109,0.0798,1,0.045,0.3567,0.2014,0.1631,0.1539,0.0799,1,0.038,0.4105,0.1782,0.1638,0.1391,0.0704,1,0.0503,0.4335,0.1979,0.1326,0.1253,0.0604,1,0.069,0.3905,0.1742,0.141,0.1411,0.0842,1,0.0935,0.4053,0.1387,0.1177,0.1407,0.1041,1,0.0757,0.3883,0.2023,0.154,0.1172,0.0625,1,0.095,0.4316,0.1794,0.1162,0.1074,0.0704,1,0.0771,0.4541,0.187,0.126,0.1055,0.0503,1,0.0771,0.4541,0.187,0.126,0.1055,0.0503,1
2.6,0.0502,0.3363,0.1239,0.1388,0.1767,0.1741,1,0.0615,0.3509,0.1595,0.1544,0.1405,0.1332,1,0.0255,0.272,0.1935,0.197,0.1865,0.1255,1,0.0216,0.3186,0.1743,0.2015,0.1716,0.1124,1,0.0295,0.346,0.1989,0.1676,0.1588,0.0992,1,0.0396,0.3047,0.1712,0.1743,0.1749,0.1353,1,0.0541,0.3183,0.1373,0.1465,0.1757,0.1681,1,0.0442,0.3088,0.2027,0.1941,0.1481,0.1021,1,0.0571,0.3516,0.1841,0.15,0.1389,0.1183,1,0.0469,0.3731,0.1935,0.164,0.1376,0.0849,1,0.0469,0.3731,0.1935,0.164,0.1376,0.0849,1
2.8,0.0263,0.2231,0.1208,0.1576,0.2231,0.2491,1,0.0331,0.2415,0.1614,0.1821,0.1841,0.1978,1,0.013,0.1767,0.1848,0.2191,0.2306,0.1758,1,0.0115,0.2116,0.1701,0.229,0.2168,0.161,1,0.0159,0.2362,0.1996,0.1958,0.2064,0.1461,1,0.0208,0.2016,0.1667,0.1975,0.2203,0.1931,1,0.0282,0.2108,0.1336,0.166,0.2213,0.2401,1,0.0239,0.2091,0.2019,0.225,0.1909,0.1492,1,0.0308,0.2437,0.1875,0.178,0.1832,0.1768,1,0.0258,0.2626,0.2004,0.1976,0.1845,0.1291,1,0.0258,0.2626,0.2004,0.1976,0.1845,0.1291,1
3,0.0069,0.1298,0.1112,0.165,0.2612,0.3259,1,0.0087,0.1459,0.1544,0.1981,0.224,0.2689,1,0.0032,0.1022,0.1692,0.2282,0.2685,0.2287,1,0.0028,0.1246,0.1587,0.2431,0.2572,0.2136,1,0.0041,0.1426,0.1909,0.2131,0.2508,0.1985,1,0.0051,0.1181,0.1544,0.2082,0.2597,0.2545,1,0.0071,0.1227,0.1229,0.1739,0.259,0.3144,1,0.0061,0.1257,0.1919,0.2435,0.2308,0.202,1,0.008,0.1485,0.181,0.1954,0.2246,0.2425,1,0.0069,0.1634,0.1971,0.2213,0.2308,0.1805,1,0.0069,0.1634,0.1971,0.2213,0.2308,0.1805,1
3.2,0,0.0664,0.0941,0.157,0.2809,0.4016,1,0,0.0774,0.1352,0.1949,0.2492,0.3433,1,0,0.0533,0.1457,0.2206,0.2936,0.2868,1,0,0.066,0.1386,0.2384,0.2853,0.2717,1,0,0.0767,0.1698,0.2128,0.2834,0.2573,1,0,0.0616,0.1331,0.2016,0.2843,0.3194,1,0,0.0628,0.1043,0.1656,0.279,0.3883,1,0,0.0675,0.17,0.2423,0.2598,0.2604,1,0,0.0795,0.1603,0.1944,0.2529,0.3129,1,0,0.0898,0.1791,0.2257,0.2663,0.2391,1,0,0.0898,0.1791,0.2257,0.2663,0.2391,1
3.4,0,0.0283,0.0711,0.1444,0.2779,0.4783,1,0,0.034,0.1054,0.1849,0.2545,0.4212,1,0,0.0235,0.1139,0.2099,0.3003,0.3524,1,0,0.0294,0.1094,0.229,0.2948,0.3374,1,0,0.0348,0.1361,0.2074,0.2974,0.3243,1,0,0.0269,0.1034,0.1903,0.289,0.3904,1,0,0.0269,0.0792,0.153,0.2772,0.4637,1,0,0.0303,0.1359,0.2352,0.2714,0.3272,1,0,0.0355,0.1268,0.1869,0.2618,0.389,1,0,0.0413,0.1458,0.2235,0.2836,0.3058,1,0,0.0413,0.1458,0.2235,0.2836,0.3058,1
3.6,0,0,0.0503,0.1284,0.2789,0.5424,1,0,0,0.0766,0.1692,0.2626,0.4916,1,0,0,0.083,0.1925,0.3112,0.4133,1,0,0,0.0805,0.2121,0.3082,0.3992,1,0,0,0.1015,0.1946,0.3151,0.3888,1,0,0,0.0748,0.1734,0.2974,0.4544,1,0,0,0.0561,0.1363,0.2791,0.5285,1,0,0,0.1011,0.2203,0.2871,0.3915,1,0,0,0.0932,0.1731,0.2735,0.4602,1,0,0,0.1102,0.2128,0.3049,0.3721,1,0,0,0.1102,0.2128,0.3049,0.3721,1
3.8,0,0,0.0286,0.1064,0.2615,0.6035,1,0,0,0.0447,0.1435,0.2521,0.5597,1,0,0,0.0493,0.1666,0.3042,0.4799,1,0,0,0.048,0.1841,0.3028,0.4651,1,0,0,0.061,0.1706,0.3118,0.4566,1,0,0,0.0439,0.1482,0.2871,0.5208,1,0,0,0.0321,0.1137,0.2631,0.5911,1,0,0,0.0608,0.1935,0.2848,0.4609,1,0,0,0.055,0.1488,0.2658,0.5304,1,0,0,0.0669,0.188,0.3044,0.4407,1,0,0,0.0669,0.188,0.3044,0.4407,1
4,0,0,0.0108,0.0822,0.2423,0.6647,1,0,0,0.0173,0.1133,0.2389,0.6305,1,0,0,0.0195,0.1343,0.2946,0.5516,1,0,0,0.019,0.1493,0.2944,0.5373,1,0,0,0.0244,0.1391,0.3054,0.5311,1,0,0,0.017,0.1178,0.2741,0.5911,1,0,0,0.0122,0.0882,0.2452,0.6544,1,0,0,0.0243,0.1583,0.2797,0.5377,1,0,0,0.0215,0.1189,0.2551,0.6045,1,0,0,0.0268,0.1549,0.3008,0.5175,1,0,0,0.0268,0.1549,0.3008,0.5175,1
4.2,0,0,0,0.0576,0.2206,0.7218,1,0,0,0,0.081,0.2215,0.6975,1,0,0,0,0.0979,0.279,0.6231,1,0,0,0,0.1095,0.2803,0.6102,1,0,0,0,0.1023,0.2919,0.6058,1,0,0,0,0.0848,0.2564,0.6588,1,0,0,0,0.0621,0.2242,0.7137,1,0,0,0,0.1168,0.2683,0.6149,1,0,0,0,0.0857,0.2388,0.6755,1,0,0,0,0.1149,0.29,0.5951,1,0,0,0,0.1149,0.29,0.5951,1
4.4,0,0,0,0.0337,0.1852,0.7811,1,0,0,0,0.048,0.1882,0.7638,1,0,0,0,0.0594,0.2426,0.698,1,0,0,0,0.0669,0.2451,0.688,1,0,0,0,0.0624,0.2552,0.6824,1,0,0,0,0.0508,0.2201,0.7291,1,0,0,0,0.0366,0.1889,0.7745,1,0,0,0,0.0714,0.2349,0.6937,1,0,0,0,0.0511,0.2043,0.7446,1,0,0,0,0.0705,0.255,0.6745,1,0,0,0,0.0705,0.255,0.6745,1
4.6,0,0,0,0.011,0.155,0.834,1,0,0,0,0.0156,0.1593,0.8251,1,0,0,0,0.0199,0.2097,0.7704,1,0,0,0,0.0224,0.2133,0.7643,1,0,0,0,0.021,0.2218,0.7572,1,0,0,0,0.0169,0.1881,0.795,1,0,0,0,0.0118,0.1585,0.8297,1,0,0,0,0.0241,0.2046,0.7713,1,0,0,0,0.0168,0.1739,0.8093,1,0,0,0,0.024,0.2231,0.7529,1,0,0,0,0.024,0.2231,0.7529,1
4.8,0,0,0,0,0.1184,0.8816,1,0,0,0,0,0.1226,0.8774,1,0,0,0,0,0.1645,0.8355,1,0,0,0,0,0.168,0.832,1,0,0,0,0,0.1749,0.8251,1,0,0,0,0,0.1461,0.8539,1,0,0,0,0,0.1214,0.8786,1,0,0,0,0,0.1609,0.8391,1,0,0,0,0,0.1346,0.8654,1,0,0,0,0,0.1766,0.8234,1,0,0,0,0,0.1766,0.8234,1
5,0,0,0,0,0.0773,0.9227,1,0,0,0,0,0.08,0.92,1,0,0,0,0,0.1093,0.8907,1,0,0,0,0,0.1118,0.8882,1,0,0,0,0,0.1167,0.8833,1,0,0,0,0,0.0963,0.9037,1,0,0,0,0,0.0793,0.9207,1,0,0,0,0,0.1068,0.8932,1,0,0,0,0,0.0885,0.9115,1,0,0,0,0,0.1178,0.8822,1,0,0,0,0,0.1178,0.8822,1
