;ExtTAZID,P_IX_Total,P_IX_Per,P_IX_Trk,P_IX_HBW,P_IX_HBO,P_IX_NHB,P_IX_HBS,P_IX_HBC,P_IX_Rec,P_IX_LT,P_IX_MD,P_IX_HV,P_IX_LH_MD,P_IX_LH_HV,A_IX_Total,A_IX_Per,A_IX_Trk,A_IX_HBW,A_IX_HBO,A_IX_NHB,A_IX_HBS,A_IX_HBC,A_IX_Rec,A_IX_LT,A_IX_MD,A_IX_HV,A_IX_LH_MD,A_IX_LH_HV,P_XI_Total,P_XI_Per,P_XI_Trk,P_XI_HBW,P_XI_HBO,P_XI_NHB,P_XI_HBS,P_XI_HBC,P_XI_Rec,P_XI_LT,P_XI_MD,P_XI_HV,P_XI_LH_MD,P_XI_LH_HV,A_XI_Total,A_XI_Per,A_XI_Trk,A_XI_HBW,A_XI_HBO,A_XI_NHB,A_XI_HBS,A_XI_HBC,A_XI_Rec,A_XI_LT,A_XI_MD,A_XI_HV,A_XI_LH_MD,A_XI_LH_HV,P_XX_Total,P_XX_Per,P_XX_Trk,P_XX_HBW,P_XX_HBO,P_XX_NHB,P_XX_HBS,P_XX_HBC,P_XX_Rec,P_XX_LT,P_XX_MD,P_XX_HV,P_XX_LH_MD,P_XX_LH_HV,A_XX_Total,A_XX_Per,A_XX_Trk,A_XX_HBW,A_XX_HBO,A_XX_NHB,A_XX_HBS,A_XX_HBC,A_XX_Rec,A_XX_LT,A_XX_MD,A_XX_HV,A_XX_LH_MD,A_XX_LH_HV
   3601.00,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,      7.00,      1.00,      6.00,         0,      1.00,         0,         0,         0,         0,      3.00,      1.00,      2.00,         0,         0,     40.00,     33.00,      7.00,     16.00,     16.00,      1.00,         0,         0,         0,      4.00,      1.00,      2.00,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,      8.00,      6.00,      2.00,      2.00,      4.00,         0,         0,         0,         0,      2.00,         0,         0,         0,         0,      5.00,      1.00,      4.00,         0,      1.00,         0,         0,         0,         0,      2.00,      1.00,      1.00,         0,         0
   3602.00,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,   3664.00,   1564.00,   2100.00,    627.00,    439.00,    498.00,         0,         0,         0,    803.00,    748.00,    481.00,         0,     68.00,   5954.00,   2674.00,   3280.00,    737.00,   1354.00,    533.00,     50.00,         0,         0,   1437.00,   1061.00,    711.00,         0,     71.00,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,    514.00,    193.00,    321.00,     59.00,     59.00,     69.00,      1.00,         0,      5.00,     93.00,    109.00,     72.00,         0,     47.00,    649.00,    293.00,    356.00,    152.00,     62.00,     79.00,         0,         0,         0,     76.00,    148.00,    101.00,         0,     31.00
   3603.00,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,     85.00,     43.00,     42.00,      3.00,     25.00,     14.00,      1.00,         0,         0,     20.00,     13.00,      9.00,         0,         0,    178.00,    108.00,     70.00,     63.00,     29.00,     16.00,         0,         0,         0,     36.00,     17.00,     17.00,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,     16.00,      9.00,      7.00,      4.00,      2.00,      3.00,         0,         0,         0,      6.00,      1.00,         0,         0,         0,      7.00,      3.00,      4.00,         0,      3.00,         0,         0,         0,         0,      2.00,      1.00,      1.00,         0,         0
   3604.00,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,  17654.00,   8272.00,   9382.00,   2181.00,   3217.00,   1549.00,      6.00,         0,   1319.00,    998.00,   2192.00,    800.00,         0,   5392.00,  23329.00,  10933.00,  12396.00,   5143.00,   4015.00,   1754.00,     17.00,         0,      4.00,   2383.00,   3334.00,   1514.00,         0,   5165.00,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,   9380.00,   5029.00,   4351.00,    686.00,   1347.00,     60.00,         0,         0,   2936.00,     51.00,    564.00,     53.00,         0,   3683.00,   8969.00,   3849.00,   5120.00,    691.00,   1402.00,    128.00,      1.00,         0,   1627.00,     33.00,    523.00,     25.00,         0,   4539.00
   3605.00,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,    376.00,    256.00,    120.00,     37.00,    157.00,     61.00,      1.00,         0,         0,     70.00,     28.00,     22.00,         0,         0,    954.00,    802.00,    152.00,    286.00,    443.00,     58.00,     15.00,         0,         0,     94.00,     35.00,     23.00,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,     30.00,     18.00,     12.00,      4.00,      4.00,     10.00,         0,         0,         0,      6.00,      2.00,      4.00,         0,         0,     43.00,     23.00,     20.00,      4.00,      9.00,     10.00,         0,         0,         0,      5.00,     12.00,      3.00,         0,         0
   3606.00,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,  13840.00,   8800.00,   5040.00,   3138.00,   2829.00,   1319.00,      4.00,         0,   1510.00,   1247.00,   2480.00,   1040.00,         0,    273.00,  25951.00,  15424.00,  10527.00,   6227.00,   5414.00,   3763.00,      4.00,         0,     16.00,   1727.00,   5729.00,   2794.00,         0,    277.00,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,   4128.00,   3342.00,    786.00,    402.00,    802.00,    210.00,         0,         0,   1928.00,     57.00,    315.00,    121.00,         0,    293.00,   2065.00,   1433.00,    632.00,    258.00,    703.00,     92.00,         0,         0,    380.00,     69.00,    200.00,     53.00,         0,    310.00
   3607.00,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,   2052.00,   1026.00,   1026.00,    193.00,    652.00,    140.00,     36.00,         0,      5.00,    560.00,    283.00,    183.00,         0,         0,   5259.00,   4251.00,   1008.00,   1220.00,   2535.00,    418.00,     77.00,         0,      1.00,    542.00,    297.00,    169.00,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,    104.00,     66.00,     38.00,     19.00,     18.00,     24.00,         0,         0,      5.00,     11.00,     17.00,     10.00,         0,         0,     91.00,     23.00,     68.00,      6.00,     12.00,      4.00,         0,         0,      1.00,     17.00,     30.00,     20.00,         0,      1.00
   3608.00,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,   3060.00,   1358.00,   1702.00,    308.00,    637.00,    330.00,     15.00,         0,     68.00,    958.00,    495.00,    246.00,         0,      3.00,  10373.00,   8237.00,   2136.00,   3032.00,   4458.00,    681.00,     65.00,         0,      1.00,   1144.00,    651.00,    339.00,         0,      2.00,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,     54.00,     42.00,     12.00,     10.00,     18.00,      9.00,         0,         0,      5.00,         0,      6.00,      5.00,         0,      1.00,     38.00,     16.00,     22.00,         0,     10.00,      3.00,         0,         0,      3.00,      4.00,     12.00,      5.00,         0,      1.00
   3609.00,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,  12345.00,   5648.00,   6697.00,   2063.00,   1990.00,   1132.00,     19.00,         0,    444.00,   2628.00,   2501.00,   1424.00,         0,    144.00,  32464.00,  24333.00,   8131.00,   9358.00,  12164.00,   2745.00,     64.00,         0,      2.00,   3608.00,   2746.00,   1607.00,         0,    170.00,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,   3395.00,    802.00,   2593.00,    189.00,    348.00,     26.00,         0,         0,    239.00,      5.00,    198.00,     26.00,         0,   2364.00,   4934.00,   2961.00,   1973.00,    247.00,    423.00,     58.00,         0,         0,   2233.00,     23.00,    277.00,     71.00,         0,   1602.00
   3610.00,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,    648.00,    468.00,    180.00,    200.00,    129.00,    139.00,         0,         0,         0,     40.00,     82.00,     58.00,         0,         0,    155.00,     80.00,     75.00,     41.00,     21.00,     18.00,         0,         0,         0,     33.00,     25.00,     17.00,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
   3611.00,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,    417.00,    233.00,    184.00,     37.00,    142.00,     54.00,         0,         0,         0,     81.00,     65.00,     38.00,         0,         0,    724.00,    611.00,    113.00,    150.00,    416.00,     30.00,     15.00,         0,         0,     67.00,     28.00,     18.00,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,   1634.00,   1293.00,    341.00,    561.00,    600.00,    125.00,      3.00,         0,      4.00,    180.00,    109.00,     50.00,         0,      2.00,    270.00,    100.00,    170.00,     19.00,     45.00,     36.00,         0,         0,         0,     63.00,     75.00,     31.00,         0,      1.00
   3612.00,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,  26642.00,  13100.00,  13542.00,   4417.00,   3778.00,   4578.00,      5.00,         0,    322.00,   2749.00,   6536.00,   3564.00,         0,    693.00,  61392.00,  39341.00,  22051.00,  23755.00,  10735.00,   4816.00,     28.00,         0,      7.00,   9164.00,   8098.00,   4396.00,         0,    393.00,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,   4593.00,   2049.00,   2544.00,    365.00,    743.00,    112.00,         0,         0,    829.00,     83.00,    567.00,    131.00,         0,   1763.00,   5308.00,   2666.00,   2642.00,    907.00,   1269.00,    192.00,      3.00,         0,    295.00,    194.00,    623.00,    150.00,         0,   1675.00
   3613.00,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,     11.00,     11.00,         0,         0,         0,         0,         0,         0,     11.00,         0,         0,         0,         0,         0,      3.00,      3.00,         0,      1.00,      2.00,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,    103.00,    103.00,         0,         0,         0,         0,         0,         0,    103.00,         0,         0,         0,         0,         0
   3614.00,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,  30317.00,  10246.00,  20071.00,   3678.00,   3059.00,   2747.00,      4.00,         0,    758.00,   4077.00,   9236.00,   4479.00,         0,   2279.00,  64728.00,  34539.00,  30189.00,  14941.00,  15322.00,   4237.00,     39.00,         0,         0,  11420.00,  10979.00,   5607.00,         0,   2183.00,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,   4542.00,   1863.00,   2679.00,    404.00,    938.00,     21.00,         0,         0,    500.00,     15.00,    492.00,     78.00,         0,   2094.00,   5203.00,   2552.00,   2651.00,    464.00,   1085.00,     70.00,         0,         0,    933.00,     21.00,    521.00,     89.00,         0,   2020.00
   3615.00,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,   1165.00,    626.00,    539.00,    177.00,    251.00,    171.00,      1.00,         0,     26.00,    125.00,    279.00,    132.00,         0,      3.00,   2783.00,   1326.00,   1457.00,    675.00,    439.00,    202.00,         0,         0,     10.00,    599.00,    553.00,    303.00,         0,      2.00,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,      3.00,         0,      3.00,         0,         0,         0,         0,         0,         0,         0,      2.00,      1.00,         0,         0,      1.00,         0,      1.00,         0,         0,         0,         0,         0,         0,         0,      1.00,         0,         0,         0
   3616.00,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
   3617.00,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,    626.00,    346.00,    280.00,     79.00,    172.00,     78.00,      8.00,         0,      9.00,     77.00,    101.00,     56.00,         0,     46.00,   1413.00,    910.00,    503.00,    457.00,    331.00,    122.00,         0,         0,         0,    176.00,    178.00,    135.00,         0,     14.00,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,     79.00,     66.00,     13.00,     21.00,     18.00,     24.00,         0,         0,      3.00,      3.00,      8.00,      2.00,         0,         0,    103.00,     41.00,     62.00,     13.00,     11.00,     17.00,         0,         0,         0,      5.00,     12.00,      7.00,         0,     38.00
   3618.00,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,   2434.00,   1116.00,   1318.00,    435.00,    433.00,    242.00,         0,         0,      6.00,    131.00,    736.00,    430.00,         0,     21.00,   1554.00,    510.00,   1044.00,    229.00,    161.00,    120.00,         0,         0,         0,    262.00,    475.00,    296.00,         0,     11.00,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,     60.00,     38.00,     22.00,     13.00,      5.00,      3.00,         0,         0,     17.00,         0,     10.00,         0,         0,     12.00,    108.00,     75.00,     33.00,     22.00,     27.00,     26.00,         0,         0,         0,         0,     13.00,      3.00,         0,     17.00
   3619.00,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
   3620.00,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,  10490.00,   4665.00,   5825.00,   1682.00,   1329.00,   1260.00,      1.00,         0,    393.00,    972.00,   3097.00,   1506.00,         0,    250.00,  17603.00,  10359.00,   7244.00,   5652.00,   3211.00,   1486.00,      8.00,         0,      2.00,   2684.00,   2921.00,   1465.00,         0,    174.00,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,   1581.00,   1176.00,    405.00,    231.00,    539.00,     14.00,         0,         0,    392.00,         0,    174.00,      2.00,         0,    229.00,   1265.00,    861.00,    404.00,    213.00,    424.00,     54.00,         0,         0,    170.00,      1.00,    133.00,     16.00,         0,    254.00
   3621.00,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
   3622.00,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
   3623.00,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,   3993.00,   2574.00,   1419.00,    487.00,    381.00,    183.00,      1.00,         0,   1522.00,         0,    909.00,     20.00,         0,    490.00,   3763.00,   1222.00,   2541.00,    550.00,    382.00,    289.00,         0,         0,      1.00,         0,   1460.00,    305.00,         0,    776.00,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,   1507.00,    480.00,   1027.00,    142.00,    138.00,     19.00,         0,         0,    181.00,         0,    257.00,      7.00,         0,    763.00,   1999.00,   1188.00,    811.00,    116.00,    146.00,     17.00,         0,         0,    909.00,      3.00,    203.00,         0,         0,    605.00
   3624.00,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,     54.00,     31.00,     23.00,         0,      2.00,         0,         0,         0,     29.00,         0,      2.00,      1.00,         0,     20.00,     80.00,     20.00,     60.00,      6.00,      6.00,      8.00,         0,         0,         0,      1.00,     16.00,     13.00,         0,     30.00,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,     51.00,     14.00,     37.00,      6.00,      4.00,      4.00,         0,         0,         0,      3.00,      5.00,         0,         0,     29.00,     28.00,      8.00,     20.00,         0,      5.00,         0,         0,         0,      3.00,         0,      2.00,      1.00,         0,     17.00
   3625.00,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
   3626.00,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,    325.00,    176.00,    149.00,     37.00,     91.00,     46.00,      2.00,         0,         0,      9.00,     55.00,     41.00,         0,     44.00,   1242.00,    441.00,    801.00,    172.00,    159.00,    110.00,         0,         0,         0,    139.00,    389.00,    214.00,         0,     59.00,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,     65.00,     20.00,     45.00,      3.00,     12.00,      3.00,         0,         0,      2.00,         0,      3.00,      2.00,         0,     40.00,     37.00,      9.00,     28.00,         0,      7.00,      2.00,         0,         0,         0,         0,      4.00,      1.00,         0,     23.00
   3627.00,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
   3628.00,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,  11679.00,   6351.00,   5328.00,   2116.00,   1693.00,   1600.00,     12.00,         0,    930.00,    576.00,   1082.00,    600.00,         0,   3070.00,  21358.00,  11069.00,  10289.00,   4354.00,   3567.00,   3130.00,     12.00,         0,      6.00,   2115.00,   3352.00,   1849.00,         0,   2973.00,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,   7017.00,   4836.00,   2181.00,    900.00,   2070.00,    157.00,         0,         0,   1709.00,     26.00,    503.00,     33.00,         0,   1619.00,   7540.00,   5180.00,   2360.00,    923.00,   2039.00,    114.00,      2.00,         0,   2102.00,     10.00,    535.00,     10.00,         0,   1805.00
   3629.00,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,    950.00,    533.00,    417.00,    172.00,    237.00,    124.00,         0,         0,         0,    201.00,    126.00,     82.00,         0,      8.00,   2383.00,   1831.00,    552.00,    546.00,   1020.00,    225.00,     40.00,         0,         0,    274.00,    156.00,    117.00,         0,      5.00,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,    120.00,     93.00,     27.00,     40.00,     25.00,     22.00,      2.00,         0,      4.00,     10.00,     11.00,      5.00,         0,      1.00,    115.00,     50.00,     65.00,     26.00,     11.00,     13.00,         0,         0,         0,     23.00,     27.00,     14.00,         0,      1.00
