FACGEOGROUP,ROUTE,MPFROM,MPTO,FACGEO_NEW
SSNFACGEO,0015,42.2,401,I15
SSNFACGEO,0080,0,198,I80
SSNFACGEO,0215,0,29,I215
SSNFACGEO,0067,0,11.6,Legacy
SSNFACGEO,0201,0,16.6,SR201
SSNFACGEO,0070,0,232,I70
SSNFACGEO,0084,0,120,I84
SSNFACGEO,0040,0.5,13,US40
COFACGEO,0015,0,379,I15
COFACGEO,0015,379,401,I15Plymouth
COFACGEO,0080,0,98,I80NevSR36
COFACGEO,0080,98,115,I80SR36SR154
COFACGEO,0080,115,127.5,I80SR154SR186
COFACGEO,0080,127.5,146.5,I80SR186US40
COFACGEO,0080,146.5,198,I80US40Wyo
COFACGEO,0215,0,29,I215
COFACGEO,0067,0,11.6,Legacy
COFACGEO,0201,0,16.6,SR201
COFACGEO,0070,0,232,I70
COFACGEO,0084,0,42.8,I84West
COFACGEO,0084,81.0,120,I84East
COFACGEO,0040,0.5,13,US40
WDFACGEO,0015,0,401,I15
WDFACGEO,0080,0,198,I80
WDFACGEO,0215,0,29,I215
WDFACGEO,0067,0,11.6,Legacy
WDFACGEO,0201,0,16.6,SR201
WDFACGEO,0070,0,232,I70
WDFACGEO,0084,0,42.8,I84West
WDFACGEO,0084,81.0,120,I84East
WDFACGEO,0040,0.5,13,US40