N,MODE,OPERATOR,NAME,LONGNAME,STOP,STOP4,STOP5,STOP6,STOP7,STOP8,STOP9,X,Y,TAZID,geometry
10046,9,0,O603,O603,1,0,0,0,0,0,1,417871.0,4564006.0,368,POINT (417871 4564006)
28812,9,0,O603,O603,0,0,0,0,0,0,0,417958.7039,4564037.554,369,POINT (417958.7039 4564037.554)
28808,9,0,O603,O603,0,0,0,0,0,0,0,417957.5414,4563967.26633,369,POINT (417957.5414 4563967.26633)
28806,9,0,O603,O603,0,0,0,0,0,0,0,417957.1341,4563942.192,390,POINT (417957.1341 4563942.192)
28796,9,0,O603,O603,0,0,0,0,0,0,0,417953.0619,4563825.935,390,POINT (417953.0619 4563825.935)
28790,9,0,O603,O603,1,0,0,0,0,0,1,417950.0,4563732.0,390,POINT (417950 4563732)
28772,9,0,O603,O603,1,0,0,0,0,0,1,417941.0,4563489.0,389,POINT (417941 4563489)
28777,9,0,O603,O603,0,0,0,0,0,0,0,418057.0,4563491.0,389,POINT (418057 4563491)
28788,9,0,O603,O603,0,0,0,0,0,0,0,418173.0,4563488.0,389,POINT (418173 4563488)
28795,9,0,O603,O603,1,0,0,0,0,0,1,418295.0,4563482.0,391,POINT (418295 4563482)
28805,9,0,O603,O603,0,0,0,0,0,0,0,418407.0,4563481.0,391,POINT (418407 4563481)
28813,9,0,O603,O603,0,0,0,0,0,0,0,418525.0,4563479.0,394,POINT (418525 4563479)
28823,9,0,O603,O603,1,0,0,0,0,0,1,418642.0,4563473.0,393,POINT (418642 4563473)
28835,9,0,O603,O603,0,0,0,0,0,0,0,418754.0,4563473.0,396,POINT (418754 4563473)
28845,9,0,O603,O603,0,0,0,0,0,0,0,418882.0,4563469.0,396,POINT (418882 4563469)
28871,9,0,O603,O603,0,0,0,0,0,0,0,419203.0,4563462.0,398,POINT (419203 4563462)
28899,9,0,O603,O603,1,0,0,0,0,0,1,419584.9198,4563448.305,400,POINT (419584.9198 4563448.305)
28920,9,0,O603,O603,0,0,0,0,0,0,0,419584.0,4563679.0,398,POINT (419584 4563679)
28935,9,0,O603,O603,1,0,0,0,0,0,1,419587.0,4563915.0,377,POINT (419587 4563915)
28966,9,0,O603,O603,1,0,0,0,0,0,1,420066.0,4563901.0,379,POINT (420066 4563901)
28988,9,0,O603,O603,1,0,0,0,0,0,1,420526.0,4563892.0,381,POINT (420526 4563892)
28976,9,0,O603,O603,0,0,0,0,0,0,0,420520.0,4563660.0,402,POINT (420520 4563660)
28963,9,0,O603,O603,1,0,0,0,0,0,1,420512.0,4563424.0,402,POINT (420512 4563424)
28951,9,0,O603,O603,1,0,0,0,0,0,1,420506.0,4563181.0,401,POINT (420506 4563181)
28932,9,0,O603,O603,0,0,0,0,0,0,0,420500.0,4562957.0,401,POINT (420500 4562957)
28927,9,0,O603,O603,0,0,0,0,0,0,0,420497.0,4562849.0,420,POINT (420497 4562849)
28918,9,0,O603,O603,1,0,0,0,0,0,1,420495.0,4562728.0,420,POINT (420495 4562728)
28894,9,0,O603,O603,1,0,0,0,0,0,1,420489.0,4562490.0,419,POINT (420489 4562490)
28877,9,0,O603,O603,1,0,0,0,0,0,1,420482.0,4562261.0,419,POINT (420482 4562261)
28841,9,0,O603,O603,1,0,0,0,0,0,1,420470.0,4561804.0,433,POINT (420470 4561804)
28779,9,0,O603,O603,0,0,0,0,0,0,0,420450.0,4561117.0,437,POINT (420450 4561117)
28797,9,0,O603,O603,0,0,0,0,0,0,0,420679.0,4561109.0,437,POINT (420679 4561109)
28820,9,0,O603,O603,1,0,0,0,0,0,1,421010.0,4561098.0,437,POINT (421010 4561098)
28727,9,0,O603,O603,1,0,0,0,0,0,1,420438.0,4560596.0,437,POINT (420438 4560596)
28678,9,0,O603,O603,1,0,0,0,0,0,1,420412.0,4559877.0,441,POINT (420412 4559877)
28651,9,0,O603,O603,1,0,0,0,0,0,1,420398.0,4559493.0,440,POINT (420398 4559493)
28631,9,0,O603,O603,1,0,0,0,0,0,1,420385.0,4559134.0,442,POINT (420385 4559134)
28619,9,0,O603,O603,0,0,0,0,0,0,0,420382.0,4558985.0,442,POINT (420382 4558985)
28595,9,0,O603,O603-,1,0,0,0,0,0,1,420378.9988,4558737.925,443,POINT (420378.9988 4558737.925)
66744,9,0,UVX,UVX,1,0,0,0,0,0,1,444231.5478,4451126.713,3019,POINT (444231.5478 4451126.713)
66743,9,0,UVX,UVX,0,0,0,0,0,0,0,444520.3392,4451123.468,3022,POINT (444520.3392 4451123.468)
66750,9,0,UVX,UVX,0,0,0,0,0,0,0,444517.0943,4451331.138,3022,POINT (444517.0943 4451331.138)
66768,9,0,UVX,UVX,0,0,0,0,0,0,0,444427.4063,4451757.781,3022,POINT (444427.4063 4451757.781)
66770,9,0,UVX,UVX,1,0,0,0,0,0,1,444180.6563,4451788.624,3020,POINT (444180.6563 4451788.624)
71485,9,0,UVX,UVX,0,0,0,0,0,0,0,444053.2506,4451787.519,3020,POINT (444053.2506 4451787.519)
66769,9,0,UVX,UVX,0,0,0,0,0,0,0,443927.125,4451784.921,3019,POINT (443927.125 4451784.921)
66771,9,0,UVX,UVX,0,0,0,0,0,0,0,443736.1098,4451794.844,2998,POINT (443736.1098 4451794.844)
66775,9,0,UVX,UVX,0,0,0,0,0,0,0,443762.7333,4451883.589,2998,POINT (443762.7333 4451883.589)
66788,9,0,UVX,UVX,1,0,0,0,0,0,1,443768.6496,4452096.577,2998,POINT (443768.6496 4452096.577)
66793,9,0,UVX,UVX,0,0,0,0,0,0,0,443801.1894,4452140.949,2998,POINT (443801.1894 4452140.949)
66810,9,0,UVX,UVX,0,0,0,0,0,0,0,443804.1476,4452297.732,2998,POINT (443804.1476 4452297.732)
66812,9,0,UVX,UVX,0,0,0,0,0,0,0,443682.8629,4452312.523,2998,POINT (443682.8629 4452312.523)
66818,9,0,UVX,UVX,0,0,0,0,0,0,0,443679.9047,4452469.305,2996,POINT (443679.9047 4452469.305)
66828,9,0,UVX,UVX,0,0,0,0,0,0,0,443651.0938,4452581.929,3001,POINT (443651.0938 4452581.929)
66826,9,0,UVX,UVX,0,0,0,0,0,0,0,443788.2442,4452579.854,3001,POINT (443788.2442 4452579.854)
66841,9,0,UVX,UVX,0,0,0,0,0,0,0,443771.4238,4452820.693,3001,POINT (443771.4238 4452820.693)
50024,9,0,UVX,UVX,1,0,0,0,0,0,1,443771.3641,4452975.47,3001,POINT (443771.3641 4452975.47)
66825,9,0,UVX,UVX,0,0,0,0,0,0,0,443944.125,4452575.934,3020,POINT (443944.125 4452575.934)
66837,9,0,UVX,UVX,0,0,0,0,0,0,0,443955.9051,4452753.487,3001,POINT (443955.9051 4452753.487)
66874,9,0,UVX,UVX,0,0,0,0,0,0,0,443960.125,4453164.944,3011,POINT (443960.125 4453164.944)
66882,9,0,UVX,UVX,1,0,0,0,0,0,1,443962.5606,4453315.83,3011,POINT (443962.5606 4453315.83)
66893,9,0,UVX,UVX,0,0,0,0,0,0,0,443964.125,4453459.949,3014,POINT (443964.125 4453459.949)
71504,9,0,UVX,UVX,0,0,0,0,0,0,0,443964.7913,4453606.525,3014,POINT (443964.7913 4453606.525)
66922,9,0,UVX,UVX,0,0,0,0,0,0,0,443967.125,4453751.953,3014,POINT (443967.125 4453751.953)
66941,9,0,UVX,UVX,1,0,0,0,0,0,1,443966.125,4453905.956,2968,POINT (443966.125 4453905.956)
66966,9,0,UVX,UVX,0,0,0,0,0,0,0,443968.6875,4454058.99,2968,POINT (443968.6875 4454058.99)
66985,9,0,UVX,UVX,0,0,0,0,0,0,0,443971.1563,4454206.961,2986,POINT (443971.1563 4454206.961)
67000,9,0,UVX,UVX,1,0,0,0,0,0,1,443973.3014,4454351.977,2986,POINT (443973.3014 4454351.977)
67003,9,0,UVX,UVX,0,0,0,0,0,0,0,443974.1724,4454428.556,2986,POINT (443974.1724 4454428.556)
67023,9,0,UVX,UVX,0,0,0,0,0,0,0,443976.1563,4454645.968,2990,POINT (443976.1563 4454645.968)
67041,9,0,UVX,UVX,1,0,0,0,0,0,1,443978.088,4454790.35,2990,POINT (443978.088 4454790.35)
67061,9,0,UVX,UVX,0,0,0,0,0,0,0,443980.1563,4454938.973,2990,POINT (443980.1563 4454938.973)
71553,9,0,UVX,UVX,0,0,0,0,0,0,0,444133.8164,4454936.619,2990,POINT (444133.8164 4454936.619)
71555,9,0,UVX,UVX,0,0,0,0,0,0,0,444233.8062,4454936.619,2990,POINT (444233.8062 4454936.619)
67060,9,0,UVX,UVX,0,0,0,0,0,0,0,444314.4375,4454937.478,2991,POINT (444314.4375 4454937.478)
67059,9,0,UVX,UVX,1,0,0,0,0,0,1,444572.6221,4454934.259,2992,POINT (444572.6221 4454934.259)
67058,9,0,UVX,UVX,0,0,0,0,0,0,0,444741.1378,4454931.058,2992,POINT (444741.1378 4454931.058)
67057,9,0,UVX,UVX,0,0,0,0,0,0,0,445006.8423,4454926.488,2992,POINT (445006.8423 4454926.488)
67066,9,0,UVX,UVX,0,0,0,0,0,0,0,445009.2188,4455072.994,2993,POINT (445009.2188 4455072.994)
67092,9,0,UVX,UVX,1,0,0,0,0,0,1,445012.2188,4455244.997,2993,POINT (445012.2188 4455244.997)
67090,9,0,UVX,UVX,0,0,0,0,0,0,0,445078.0584,4455243.634,2993,POINT (445078.0584 4455243.634)
67091,9,0,UVX,UVX,0,0,0,0,0,0,0,445304.2188,4455244.003,2942,POINT (445304.2188 4455244.003)
67110,9,0,UVX,UVX,0,0,0,0,0,0,0,445304.9827,4455536.828,2942,POINT (445304.9827 4455536.828)
67121,9,0,UVX,UVX,0,0,0,0,0,0,0,445302.2188,4455677.01,2942,POINT (445302.2188 4455677.01)
67147,9,0,UVX,UVX,0,0,0,0,0,0,0,445299.3125,4456039.562,2942,POINT (445299.3125 4456039.562)
67191,9,0,UVX,UVX,0,0,0,0,0,0,0,445299.2188,4456446.014,2944,POINT (445299.2188 4456446.014)
67190,9,0,UVX,UVX,1,0,0,0,0,0,1,445040.2214,4456444.438,2941,POINT (445040.2214 4456444.438)
67187,9,0,UVX,UVX,0,0,0,0,0,0,0,444947.4412,4456437.502,2939,POINT (444947.4412 4456437.502)
67171,9,0,UVX,UVX,0,0,0,0,0,0,0,444768.4276,4456342.876,2939,POINT (444768.4276 4456342.876)
67169,9,0,UVX,UVX,0,0,0,0,0,0,0,444681.1875,4456333.002,2940,POINT (444681.1875 4456333.002)
67172,9,0,UVX,UVX,1,0,0,0,0,0,1,444531.2631,4456345.645,2939,POINT (444531.2631 4456345.645)
67174,9,0,UVX,UVX,0,0,0,0,0,0,0,444206.1875,4456351.993,2940,POINT (444206.1875 4456351.993)
67173,9,0,UVX,UVX,0,0,0,0,0,0,0,444103.1875,4456351.991,2938,POINT (444103.1875 4456351.991)
67175,9,0,UVX,UVX,0,0,0,0,0,0,0,443993.1563,4456355.989,2938,POINT (443993.1563 4456355.989)
67180,9,0,UVX,UVX,0,0,0,0,0,0,0,443888.125,4456388.712,2931,POINT (443888.125 4456388.712)
67211,9,0,UVX,UVX,0,0,0,0,0,0,0,443725.1563,4456585.985,2936,POINT (443725.1563 4456585.985)
67255,9,0,UVX,UVX,1,0,0,0,0,0,1,443248.875,4457157.181,2933,POINT (443248.875 4457157.181)
67284,9,0,UVX,UVX,0,0,0,0,0,0,0,443049.125,4457355.976,2935,POINT (443049.125 4457355.976)
67292,9,0,UVX,UVX,0,0,0,0,0,0,0,442905.1563,4457498.464,2932,POINT (442905.1563 4457498.464)
67299,9,0,UVX,UVX,0,0,0,0,0,0,0,442825.0,4457649.056,2932,POINT (442825 4457649.056)
67328,9,0,UVX,UVX,0,0,0,0,0,0,0,442852.8438,4458029.062,2868,POINT (442852.8438 4458029.062)
67357,9,0,UVX,UVX,0,0,0,0,0,0,0,442761.6875,4458202.269,2868,POINT (442761.6875 4458202.269)
67366,9,0,UVX,UVX,0,0,0,0,0,0,0,442526.0938,4458273.97,2868,POINT (442526.0938 4458273.97)
67371,9,0,UVX,UVX,1,0,0,0,0,0,1,442160.3193,4458319.613,2894,POINT (442160.3193 4458319.613)
67373,9,0,UVX,UVX,0,0,0,0,0,0,0,442112.6204,4458325.21,2894,POINT (442112.6204 4458325.21)
67374,9,0,UVX,UVX,0,0,0,0,0,0,0,441801.7502,4458329.268,2865,POINT (441801.7502 4458329.268)
67375,9,0,UVX,UVX,0,0,0,0,0,0,0,441471.075,4458338.041,2893,POINT (441471.075 4458338.041)
67377,9,0,UVX,UVX,0,0,0,0,0,0,0,441305.0313,4458342.947,2851,POINT (441305.0313 4458342.947)
67380,9,0,UVX,UVX,1,0,0,0,0,0,1,440904.0313,4458351.939,2851,POINT (440904.0313 4458351.939)
67382,9,0,UVX,UVX,0,0,0,0,0,0,0,440484.5338,4458358.718,2850,POINT (440484.5338 4458358.718)
67383,9,0,UVX,UVX,1,0,0,0,0,0,1,440091.0,4458361.924,2891,POINT (440091 4458361.924)
67391,9,0,UVX,UVX,0,0,0,0,0,0,0,440098.1875,4458461.508,2850,POINT (440098.1875 4458461.508)
67408,9,0,UVX,UVX,0,0,0,0,0,0,0,440085.8125,4458551.653,2848,POINT (440085.8125 4458551.653)
67409,9,0,UVX,UVX,0,0,0,0,0,0,0,439976.3224,4458552.244,2848,POINT (439976.3224 4458552.244)
67413,9,0,UVX,UVX,0,0,0,0,0,0,0,439506.9725,4458567.18,2848,POINT (439506.9725 4458567.18)
67421,9,0,UVX,UVX,1,0,0,0,0,0,1,439380.5328,4458629.972,2848,POINT (439380.5328 4458629.972)
67396,9,0,UVX,UVX,0,0,0,0,0,0,0,439349.9375,4458522.91,2848,POINT (439349.9375 4458522.91)
67411,9,0,UVX,UVX,0,0,0,0,0,0,0,439189.8093,4458560.683,2848,POINT (439189.8093 4458560.683)
60530,9,0,UVX,UVX,0,0,0,0,0,0,0,439019.4517,4458574.795,2848,POINT (439019.4517 4458574.795)
60529,9,0,UVX,UVX,0,0,0,0,0,0,0,438875.9466,4458573.432,2882,POINT (438875.9466 4458573.432)
60528,9,0,UVX,UVX,0,0,0,0,0,0,0,438756.5104,4458564.804,2882,POINT (438756.5104 4458564.804)
67407,9,0,UVX,UVX,0,0,0,0,0,0,0,438353.4428,4458550.053,2878,POINT (438353.4428 4458550.053)
67405,9,0,UVX,UVX,0,0,0,0,0,0,0,438165.9063,4458546.888,2878,POINT (438165.9063 4458546.888)
63443,9,0,UVX,UVX,0,0,0,0,0,0,0,437981.7813,4458804.845,2879,POINT (437981.7813 4458804.845)
67461,9,0,UVX,UVX,0,0,0,0,0,0,0,437906.2942,4458984.802,2879,POINT (437906.2942 4458984.802)
50029,9,0,UVX,UVX-,1,0,0,0,0,0,1,438356.2813,4459074.432,2882,POINT (438356.2813 4459074.432)
20869,6,0,S451X,S451X,1,0,0,1,0,0,0,396180.5806,4508543.74,906,POINT (396180.5806 4508543.74)
20922,6,0,S451X,S451X,0,0,0,0,0,0,0,396427.9987,4508713.171,908,POINT (396427.9987 4508713.171)
21195,6,0,S451X,S451X,0,0,0,0,0,0,0,398053.2757,4509537.123,908,POINT (398053.2757 4509537.123)
21464,6,0,S451X,S451X,0,0,0,0,0,0,0,399344.91,4510398.213,908,POINT (399344.91 4510398.213)
21534,6,0,S451X,S451X,0,0,0,0,0,0,0,399723.9765,4510716.442,908,POINT (399723.9765 4510716.442)
21726,6,0,S451X,S451X,0,0,0,0,0,0,0,400503.169,4511544.772,907,POINT (400503.169 4511544.772)
22006,6,0,S451X,S451X,0,0,0,0,0,0,0,401648.0,4512693.0,907,POINT (401648 4512693)
22284,6,0,S451X,S451X,0,0,0,0,0,0,0,402681.0,4513792.0,907,POINT (402681 4513792)
22356,6,0,S451X,S451X,0,0,0,0,0,0,0,402974.0,4513945.0,954,POINT (402974 4513945)
22537,6,0,S451X,S451X,0,0,0,0,0,0,0,404285.0,4513920.0,907,POINT (404285 4513920)
22921,6,0,S451X,S451X,0,0,0,0,0,0,0,407079.0,4513928.0,955,POINT (407079 4513928)
23362,6,0,S451X,S451X,0,0,0,0,0,0,0,409898.0,4513867.0,1008,POINT (409898 4513867)
23497,6,0,S451X,S451X,0,0,0,0,0,0,0,410669.0,4513864.0,976,POINT (410669 4513864)
23675,6,0,S451X,S451X,0,0,0,0,0,0,0,411652.0,4513852.0,1009,POINT (411652 4513852)
23716,6,0,S451X,S451X,0,0,0,0,0,0,0,411904.0,4513845.0,1009,POINT (411904 4513845)
23829,6,0,S451X,S451X,0,0,0,0,0,0,0,412498.0,4513843.0,1010,POINT (412498 4513843)
23924,6,0,S451X,S451X,0,0,0,0,0,0,0,413136.0,4513833.0,977,POINT (413136 4513833)
24045,6,0,S451X,S451X,0,0,0,0,0,0,0,413837.0,4513826.0,978,POINT (413837 4513826)
24122,6,0,S451X,S451X,0,0,0,0,0,0,0,414374.0,4513826.0,978,POINT (414374 4513826)
24202,6,0,S451X,S451X,0,0,0,0,0,0,0,414959.0,4513735.0,978,POINT (414959 4513735)
24245,6,0,S451X,S451X,0,0,0,0,0,0,0,415471.0,4513536.0,1012,POINT (415471 4513536)
24264,6,0,S451X,S451X,0,0,0,0,0,0,0,415879.0,4513315.0,1012,POINT (415879 4513315)
24288,6,0,S451X,S451X,0,0,0,0,0,0,0,416237.0,4513149.0,1012,POINT (416237 4513149)
24319,6,0,S451X,S451X,0,0,0,0,0,0,0,416592.0,4513078.0,1012,POINT (416592 4513078)
24404,6,0,S451X,S451X,0,0,0,0,0,0,0,417236.0,4513044.0,1056,POINT (417236 4513044)
24495,6,0,S451X,S451X,0,0,0,0,0,0,0,417983.0,4513051.0,1056,POINT (417983 4513051)
24512,6,0,S451X,S451X,0,0,0,0,0,0,0,418139.0,4513057.0,1056,POINT (418139 4513057)
24623,6,0,S451X,S451X,0,0,0,0,0,0,0,418958.0,4513095.0,1057,POINT (418958 4513095)
24662,6,0,S451X,S451X,0,0,0,0,0,0,0,419225.0,4513106.0,1057,POINT (419225 4513106)
24781,6,0,S451X,S451X,0,0,0,0,0,0,0,419950.0,4513167.0,1058,POINT (419950 4513167)
24825,6,0,S451X,S451X,0,0,0,0,0,0,0,420259.0,4513182.0,1058,POINT (420259 4513182)
24881,6,0,S451X,S451X,0,0,0,0,0,0,0,420727.0,4513214.0,1058,POINT (420727 4513214)
24917,6,0,S451X,S451X,0,0,0,0,0,0,0,421145.0,4513150.0,1060,POINT (421145 4513150)
25067,6,0,S451X,S451X,0,0,0,0,0,0,0,422230.0,4513016.0,1064,POINT (422230 4513016)
25117,6,0,S451X,S451X,0,0,0,0,0,0,0,422527.0,4513013.0,1064,POINT (422527 4513013)
25127,6,0,S451X,S451X,0,0,0,0,0,0,0,422660.0,4512954.0,1064,POINT (422660 4512954)
25112,6,0,S451X,S451X,0,0,0,0,0,0,0,422741.0,4512795.0,1064,POINT (422741 4512795)
25081,6,0,S451X,S451X,0,0,0,0,0,0,0,422746.0,4512620.0,1064,POINT (422746 4512620)
25039,6,0,S451X,S451X,0,0,0,0,0,0,0,422766.0,4512325.0,1113,POINT (422766 4512325)
25033,6,0,S451X,S451X,0,0,0,0,0,0,0,422914.0,4512157.0,1113,POINT (422914 4512157)
25064,6,0,S451X,S451X,0,0,0,0,0,0,0,423132.0,4512104.0,1115,POINT (423132 4512104)
25106,6,0,S451X,S451X,0,0,0,0,0,0,0,423406.0,4512100.0,1115,POINT (423406 4512100)
25164,6,0,S451X,S451X,0,0,0,0,0,0,0,423702.0,4512093.0,1117,POINT (423702 4512093)
25179,6,0,S451X,S451X,0,0,0,0,0,0,0,423816.0,4512092.0,1117,POINT (423816 4512092)
25204,6,0,S451X,S451X,0,0,0,0,0,0,0,423941.0,4512095.0,1121,POINT (423941 4512095)
25219,6,0,S451X,S451X,1,0,0,1,0,0,0,424059.0,4512091.0,1125,POINT (424059 4512091)
25242,6,0,S451X,S451X,0,0,0,0,0,0,0,424170.0,4512091.0,1125,POINT (424170 4512091)
25258,6,0,S451X,S451X,0,0,0,0,0,0,0,424294.0,4512091.0,1125,POINT (424294 4512091)
25277,6,0,S451X,S451X,0,0,0,0,0,0,0,424403.0,4512090.0,1129,POINT (424403 4512090)
25297,6,0,S451X,S451X,1,0,0,1,0,0,0,424541.0,4512091.0,1134,POINT (424541 4512091)
25330,6,0,S451X,S451X,0,0,0,0,0,0,0,424674.0,4512089.0,1134,POINT (424674 4512089)
25339,6,0,S451X,S451X,1,0,0,1,0,0,0,424778.0,4512091.0,1134,POINT (424778 4512091)
25370,6,0,S451X,S451X,0,0,0,0,0,0,0,424905.0,4512090.0,1138,POINT (424905 4512090)
25391,6,0,S451X,S451X,1,0,0,1,0,0,0,425026.0,4512089.0,1142,POINT (425026 4512089)
25420,6,0,S451X,S451X,0,0,0,0,0,0,0,425026.0,4512212.0,1142,POINT (425026 4512212)
25439,6,0,S451X,S451X,1,0,0,1,0,0,0,425028.0,4512325.0,1142,POINT (425028 4512325)
25461,6,0,S451X,S451X,0,0,0,0,0,0,0,425030.0,4512437.0,1143,POINT (425030 4512437)
25490,6,0,S451X,S451X,1,0,0,1,0,0,0,425031.0,4512570.0,1082,POINT (425031 4512570)
25510,6,0,S451X,S451X,0,0,0,0,0,0,0,425031.0,4512685.0,1082,POINT (425031 4512685)
25540,6,0,S451X,S451X,1,0,0,1,0,0,0,425034.0,4512807.0,1082,POINT (425034 4512807)
25568,6,0,S451X,S451X,0,0,0,0,0,0,0,425036.0,4512931.0,1083,POINT (425036 4512931)
25586,6,0,S451X,S451X,1,0,0,1,0,0,0,425036.0,4513044.0,1083,POINT (425036 4513044)
25618,6,0,S451X,S451X,0,0,0,0,0,0,0,425040.0,4513176.0,1084,POINT (425040 4513176)
25635,6,0,S451X,S451X,1,0,0,1,0,0,0,425039.0,4513292.0,1037,POINT (425039 4513292)
25658,6,0,S451X,S451X,0,0,0,0,0,0,0,425040.0,4513408.0,1037,POINT (425040 4513408)
25677,6,0,S451X,S451X,1,0,0,1,0,0,0,425041.0,4513532.0,1037,POINT (425041 4513532)
25704,6,0,S451X,S451X,0,0,0,0,0,0,0,425042.0,4513653.0,1038,POINT (425042 4513653)
25720,6,0,S451X,S451X,1,0,0,1,0,0,0,425043.0,4513776.0,998,POINT (425043 4513776)
25698,6,0,S451X,S451X,0,0,0,0,0,0,0,424904.0,4513774.0,1035,POINT (424904 4513774)
25678,6,0,S451X,S451X,1,0,0,1,0,0,0,424797.0,4513777.0,1035,POINT (424797 4513777)
25657,6,0,S451X,S451X,0,0,0,0,0,0,0,424673.0,4513775.0,1035,POINT (424673 4513775)
25636,6,0,S451X,S451X,0,0,0,0,0,0,0,424557.0,4513779.0,1035,POINT (424557 4513779)
